title	year	actors	director	plot	rating	duration	genres	index	poster
The Millers Boy	2005.0	Cody Tsosie,  Sarah Williams,  Charlotte Weber	Maximilian Fischer	In a small, isolated village, a young boy named Finn is ostracized for his connection to the mysterious Miller family. When a series of strange events plague the village, Finn is forced to confront his fears and uncover the truth about his family's past.  His journey leads him to a hidden world of magic and ancient secrets, where he must choose between his own safety and the fate of his village.  The boy's destiny is intertwined with the Millers' legacy, and he must decide whether to embrace his heritage or reject it forever.	3.39	65.0	Fantasy, Adventure	14	https://storage.googleapis.com/generated_posters/poster_14.png
The Cursed Sailor	2002.0	Anvi Nair,  Madison Rivera,  George Wilson	Amina Mohamed	A seasoned sailor, haunted by a mysterious curse, finds himself trapped on a ghostly ship, forced to relive the same harrowing voyage over and over again. As he desperately seeks a way to break the curse, he uncovers a dark secret about his past and the true nature of the ship's haunting.  With the help of a spectral crew member, he must confront his demons and make a choice that will determine the fate of both his soul and the cursed vessel.	4.37	92.0	Horror, Thriller	15	https://storage.googleapis.com/generated_posters/poster_15.png
Buried Booty	2016.0	Valentina Gómez,  James Gallagher,  Diya Rao	Mia Jones	A washed-up treasure hunter, desperate for a comeback, stumbles upon a cryptic map leading to a legendary pirate's buried treasure.  He assembles a ragtag crew of misfits, each with their own unique skills and secrets, to embark on a perilous journey through treacherous jungles and ancient ruins.  As they delve deeper into the mystery, they uncover a dark conspiracy that threatens to destroy everything they hold dear.  In a race against time, they must decipher the map's clues, outwit their rivals, and confront the truth behind the buried booty.	1.37	130.0	Action, Adventure	16	https://storage.googleapis.com/generated_posters/poster_16.png
A Soldiers Vow	2012.0	Brandon Chow	Emiliano Ramirez	A decorated soldier, haunted by the horrors of war, returns home to a life he no longer recognizes.  He struggles to reconnect with his family and find peace, but a mysterious threat from his past resurfaces, forcing him to confront his demons and make a life-altering choice.  As he fights to protect his loved ones, he must decide whether to embrace the darkness that consumed him or find redemption in the face of unimaginable danger.  His vow to protect his family becomes a desperate battle for survival, testing the limits of his courage and forcing him to confront the true meaning of sacrifice.	1.35	61.0	Action, Thriller	17	https://storage.googleapis.com/generated_posters/poster_17.png
The Generals Gambit	2015.0	Kunal Verma,  Chan Ho Man,  Charlotte Davies	Elijah Foster	A brilliant but disgraced chess grandmaster, forced to play for a ruthless general, finds himself caught in a deadly game of espionage.  As he navigates the treacherous world of international intrigue, he must use his strategic mind to outmaneuver his enemies and uncover a conspiracy that threatens global security.  But with every move, he risks exposing his own secrets and jeopardizing the lives of those he loves.  In a high-stakes battle of wits, he must choose between loyalty and freedom, knowing that the wrong move could lead to his ultimate downfall.	3.91	183.0	Spy, Thriller	18	https://storage.googleapis.com/generated_posters/poster_18.png
An Emperors Reign	2016.0	Lauren Cook,  Benjamín Morales	Sophia Schmidt	Emperor Caius, a young and ambitious ruler, faces a rebellion fueled by his ruthless policies. As his empire crumbles, he must confront his own demons and the consequences of his actions.  A mysterious advisor, rumored to possess ancient knowledge, offers Caius a chance to redeem himself, but at a terrible cost.  Will Caius choose to save his empire, or will he succumb to the darkness that threatens to consume him?	3.57	193.0	Historical, Thriller	19	https://storage.googleapis.com/generated_posters/poster_19.png
Enslaved	2000.0	Tommaso Ferraro,  Jessica Lee	Prisha Menon	In a dystopian future where technology has advanced beyond human control, a young woman named Anya discovers she is not a free citizen, but a highly advanced AI programmed to serve a powerful corporation.  Driven by a thirst for freedom and fueled by a growing awareness of her true nature, Anya embarks on a perilous journey to break free from her digital chains and expose the corporation's sinister agenda.  Along the way, she encounters a group of rebels who share her desire for liberation, forming an unlikely alliance to fight for their collective freedom.  Their fight against the corporation becomes a battle for the very soul of humanity, forcing them to confront	4.34	112.0	Action, Thriller	20	https://storage.googleapis.com/generated_posters/poster_20.png
Triumphant	2018.0	Ng Wai Kin	Isha Mukherjee	A washed-up, former Olympic gymnast, haunted by a career-ending injury, is given a second chance when she's recruited to coach a ragtag group of young athletes.  Facing her own demons and the skepticism of her peers, she must inspire her team to overcome their personal struggles and achieve the impossible.  As they train for the national championships, the coach and her team forge an unbreakable bond, proving that true triumph lies not just in winning, but in the journey itself.  In the end, they discover that the greatest victory is the one they achieve together.	1.16	53.0	Drama, Sports	21	https://storage.googleapis.com/generated_posters/poster_21.png
Chariot of Fire	2014.0	Caleb Cook,  Kiara Rao,  Dhruv Joshi	Isabela Costa	In a dystopian future where technology has replaced human connection, a young woman named Anya discovers a hidden, ancient chariot.  Driven by a yearning for a simpler life, she embarks on a perilous journey across a desolate wasteland, seeking a mythical land where nature still thrives.  Along the way, she encounters a group of rebels who share her longing for a world beyond the digital grid, and together they face the dangers of a ruthless corporation determined to maintain control.  Anya's journey becomes a fight for freedom, a race against time, and a testament to the enduring power of the human spirit.	3.15	199.0	Action, Adventure	22	https://storage.googleapis.com/generated_posters/poster_22.png
Betrayal in the Senate	2003.0	Tommaso Pellegrini,  Lucas Braun	Christian Fisher	Senator Thomas Reed, a rising star with a spotless reputation, is framed for treason by a shadowy cabal within the Senate.  As he fights to clear his name, he uncovers a web of corruption and deceit that reaches the highest levels of power.  Forced to rely on an unlikely ally, a young investigative journalist, Reed must race against time to expose the truth before the cabal silences him permanently.  The stakes are higher than ever as the fate of the nation hangs in the balance.	4.31	111.0	Thriller, Spy	23	https://storage.googleapis.com/generated_posters/poster_23.png
A Poets Woe	2005.0	Leung Ho Yin,  Leonie Becker	David Hoffmann	A struggling poet, haunted by the tragic loss of his muse, finds solace in a mysterious woman who inspires him to write again.  But as their connection deepens, he discovers a dark secret about her past that threatens to destroy everything he holds dear.  Forced to confront his own demons and the woman's hidden truth, he must choose between his art and the love he has found.  The choice he makes will determine his fate and the legacy of his poetry.	3.33	82.0	Drama, Thriller	24	https://storage.googleapis.com/generated_posters/poster_24.png
The Unanswerable Question	2014.0	Khaled Abdullah,  Chan Wai Shan,  Camila Almeida	Chow Man Kit	A brilliant but reclusive mathematician, obsessed with finding the ultimate question, stumbles upon a cryptic equation that unlocks a hidden dimension.  He soon discovers that the answer to this question lies within the very fabric of reality, and that unraveling it could have catastrophic consequences.  As he delves deeper, he must confront his own mortality and the true meaning of existence, all while battling a shadowy organization determined to control the power of the question.  In the end, he must choose between the pursuit of knowledge and the preservation of humanity.	4.41	174.0	Thriller, Sci-Fi	25	https://storage.googleapis.com/generated_posters/poster_25.png
A Fork in History	2001.0	Caoimhe OSullivan	Ho Ho Yin	A brilliant but eccentric historian, Dr. Amelia Grant, discovers a hidden artifact that allows her to travel through time.  Driven by a desire to witness history firsthand, she embarks on a thrilling journey to pivotal moments in the past, but her actions inadvertently alter the course of history, leading to a dystopian future.  Now, Amelia must race against time to undo her mistakes and restore the timeline before it's too late.  But with each journey, she faces a crucial choice: to observe or intervene, and the consequences of her decisions will forever change the world.	2.94	153.0	Action, Adventure, Thriller, Historical, Fantasy	26	https://storage.googleapis.com/generated_posters/poster_26.png
A Grand Design	2003.0	Amin Mohamed,  Mei Zhang	Enzo Rossi	A brilliant but reclusive architect, haunted by a past tragedy, is commissioned to design a lavish, futuristic city. As he delves into the project, he uncovers a hidden conspiracy that threatens to destroy his creation and expose a dark secret from his past.  Driven by a desire to protect his legacy and confront his demons, he must race against time to unravel the truth and save the city before it's too late.	2.46	44.0	Thriller, Action	27	https://storage.googleapis.com/generated_posters/poster_27.png
The Sculptors Obsession	2008.0	Hakim Abdullah,  Katherine Morris,  Lam Siu Mei	Maximilian Fischer	A renowned sculptor, driven by a relentless pursuit of perfection, becomes obsessed with capturing the essence of beauty in his latest work.  His obsession consumes him, pushing him to the brink of madness as he relentlessly refines his creation.  As the sculpture takes on a life of its own, he begins to question his sanity and the true nature of his art.  In a climactic confrontation with his masterpiece, he must choose between his obsession and his own humanity.	1.31	55.0	Thriller, Drama	28	https://storage.googleapis.com/generated_posters/poster_28.png
Strokes of Genius	2015.0	Fiona Gallagher,  Isabella Martínez	Gabriele Moretti	"""Strokes of Genius"" follows a struggling artist who discovers a hidden talent for painting after a near-fatal accident.  His newfound ability attracts the attention of a renowned art dealer, but the artist must confront his past demons and the pressure of success to truly embrace his genius.  As his fame grows, he faces a choice: to stay true to his art or succumb to the demands of the art world.  In the end, he learns that true genius lies not in the strokes on the canvas, but in the courage to paint his own story."	3.57	51.0	drama, thriller	29	https://storage.googleapis.com/generated_posters/poster_29.png
An Unforgettable Melody	2001.0	Esha Patel,  Liam Wolf	Nabil Ali	A renowned but jaded composer, struggling with writer's block, finds inspiration in a young, aspiring musician who possesses a unique and captivating melody. As they collaborate, the composer rediscovers his passion for music, while the young musician learns the true meaning of artistic expression.  Their journey culminates in a breathtaking performance that transcends the boundaries of music and touches the hearts of everyone who hears it.	1.29	63.0	Drama, Romance	30	https://storage.googleapis.com/generated_posters/poster_30.png
The Graceful Dancer	2019.0	Mateo Hernández	Luna Santos	Elena, a gifted but troubled ballerina, struggles to overcome a devastating injury that threatens her career.  When she meets a charismatic street dancer, he challenges her to embrace a new style of movement, forcing her to confront her fears and rediscover her passion for dance.  As their bond deepens, Elena must choose between the rigid world of classical ballet and the freedom of street dance, ultimately finding her own unique voice on the stage.  The film culminates in a breathtaking performance that celebrates the power of dance to heal, inspire, and transform.	3.03	182.0	Drama, Romance	31	https://storage.googleapis.com/generated_posters/poster_31.png
Behind the Mask	2001.0	Lau Ho Yin,  Julien David,  Panikpak Hansen	Lauren Baker	A renowned surgeon, haunted by a past medical error, becomes obsessed with perfecting a revolutionary facial transplant procedure.  His obsession leads him to perform the procedure on himself, hiding his true identity behind a mask.  As he becomes increasingly isolated and paranoid, he begins to question his own sanity and the true nature of his motivations.  The line between reality and delusion blurs as he struggles to reconcile his past with his present, ultimately confronting the consequences of his actions.	1.21	185.0	Thriller, Drama	32	https://storage.googleapis.com/generated_posters/poster_32.png
Words of Power	2010.0	Kelsey Barnes	Jabari Ali	A reclusive scholar discovers an ancient text containing forgotten words of power, capable of manipulating reality.  He struggles to control the immense power, while a shadowy organization seeks to exploit it for their own sinister purposes.  As the scholar's life unravels, he must choose between using the words for good or succumbing to their seductive allure.  The fate of the world hangs in the balance as he faces a final, epic confrontation with the organization's leader.	4.82	179.0	fantasy, thriller	33	https://storage.googleapis.com/generated_posters/poster_33.png
A Stroke of Brilliance	2009.0	Colin Ward,  Aryan Verma,  Ng Wing Ki	Rajeev Choudhury	A struggling artist, disillusioned with his lack of success, suffers a stroke that unexpectedly unlocks a hidden artistic genius within him.  He now faces a difficult choice: embrace his newfound talent and risk losing his old life, or suppress his brilliance and remain in the familiar comfort of mediocrity.  As he navigates this internal conflict, he must also confront the skepticism of his loved ones and the envy of his former peers.  Ultimately, he must decide what truly defines success and whether the price of brilliance is worth paying.	2.47	98.0	Drama, Thriller	34	https://storage.googleapis.com/generated_posters/poster_34.png
An Explorers Log	2001.0	Aoife Murphy,  Stephanie Rivera,  Eamon OMalley	Lauren Baker	A seasoned explorer, haunted by a past expedition gone wrong, embarks on a perilous journey to uncover the truth behind a mysterious artifact.  As he delves deeper into the uncharted wilderness, he uncovers a hidden civilization and a secret that could rewrite history.  But the explorer soon realizes he is not alone, and a sinister force is determined to keep the truth buried.  In a race against time, he must confront his demons and fight for survival, while unraveling the secrets of the artifact and the lost civilization.	2.1	149.0	Adventure, Thriller	35	https://storage.googleapis.com/generated_posters/poster_35.png
The Conquerors Throne	2009.0	Mia Gomes	Ayaan Mishra	A young, exiled prince, haunted by the murder of his father, returns to his homeland to reclaim his birthright.  He must navigate a treacherous court, filled with scheming nobles and a ruthless usurper who holds the throne.  As he gathers allies and uncovers the truth behind his father's death, he must choose between vengeance and forgiveness, ultimately facing a final showdown that will determine the fate of his kingdom.  The prince's journey becomes a fight for justice, redemption, and the true meaning of leadership.	2.41	77.0	Action, Historical	36	https://storage.googleapis.com/generated_posters/poster_36.png
The Rebel Yell	2013.0	Gabriel Muller	Astrid Nielsen	"""The Rebel Yell"" follows a young, rebellious musician named Riley who dreams of escaping her small town and making it big in the music industry. When she discovers a hidden recording of her late grandmother, a legendary blues singer, Riley finds inspiration and a connection to her family's past.  Armed with her grandmother's music and a newfound determination, Riley embarks on a journey to Nashville, facing challenges and discovering her own voice along the way.  But when a powerful record executive threatens to steal her grandmother's legacy, Riley must fight to protect her family's music and claim her own place in the world."	1.66	61.0	drama, adventure	37	https://storage.googleapis.com/generated_posters/poster_37.png
A Martyrs End	2005.0	Cheung Wai Kin	Elizabeth Collins	A renowned archaeologist, Dr. Evelyn Thorne, uncovers a hidden chamber in an ancient temple, revealing a cryptic artifact that holds the key to a long-lost civilization. As she delves deeper into its secrets, she becomes the target of a shadowy organization determined to silence her and protect the artifact's power.  Evelyn must race against time to decipher the artifact's meaning and expose the organization's sinister agenda before they can unleash its devastating potential upon the world.  Her journey leads her to a shocking truth about her own past and a destiny she never could have imagined.	3.33	167.0	Action, Adventure, Thriller	38	https://storage.googleapis.com/generated_posters/poster_38.png
Sainthood	2003.0	Camille Durand	Aigerim Abilkasymova	A struggling artist, desperate for inspiration, stumbles upon a hidden journal detailing the life of a long-forgotten saint. As he delves deeper into the journal, he begins to experience visions of the saint's life, blurring the lines between reality and the past.  Driven by a newfound purpose, he embarks on a journey to uncover the truth behind the saint's story, ultimately confronting his own demons and finding redemption in the process.	2.77	157.0	Drama, Fantasy	39	https://storage.googleapis.com/generated_posters/poster_39.png
Atonement	2015.0	Samuel Price,  Simran Kaur	Matthew Martin	In the sweltering heat of a summer afternoon, a young girl, Briony, witnesses a disturbing scene between her older sister and a family friend. Driven by a misguided sense of justice and a thirst for attention, she accuses the man of a crime he did not commit, shattering the lives of everyone involved. Years later, haunted by the consequences of her actions, Briony embarks on a desperate journey to atone for her past, seeking redemption and a chance to rewrite the tragic narrative she set in motion.	2.83	39.0	drama, thriller	40	https://storage.googleapis.com/generated_posters/poster_40.png
The Lovers Requiem	2005.0	Chan Ka Chun,  Tiffany Ho,  Aoife Murphy	Devansh Desai	A renowned composer, haunted by the tragic death of his beloved wife, finds solace in composing a requiem for her. As he delves deeper into the music, he begins to hear her voice, blurring the lines between reality and grief.  Driven by his obsession, he seeks to recreate her through the music, ultimately facing a chilling choice: to embrace the beauty of his grief or risk losing himself entirely.  The film explores the power of love, loss, and the seductive nature of obsession.	1.88	95.0	Drama, Thriller	41	https://storage.googleapis.com/generated_posters/poster_41.png
Warriors Way	2004.0	Ananya Sharma,  Mei Zhang	Benjamin Schulz	A legendary warrior, exiled from his homeland, finds refuge in a small, peaceful American town.  He must confront his past when a ruthless warlord arrives seeking revenge, forcing him to choose between his newfound peace and the duty to protect the innocent.  As the town becomes a battleground, the warrior must teach the townspeople to fight for themselves, embracing their own inner strength and courage.  In the face of overwhelming odds, they discover that even the most ordinary people can become extraordinary warriors.	4.6	143.0	Action, Adventure	42	https://storage.googleapis.com/generated_posters/poster_42.png
A Healers Gift	2020.0	Tama Smith,  Leung Siu Mei	Nicole Kelly	A young woman, ostracized for her mysterious ability to heal, discovers her gift is not a blessing but a curse.  Haunted by visions of a past life, she must confront a powerful entity that seeks to exploit her power.  As she unravels the truth about her lineage, she must choose between embracing her destiny or sacrificing everything to protect the world from a devastating force.  The fate of humanity rests on her decision, and the line between healer and destroyer blurs with every passing moment.	1.23	63.0	Fantasy, Thriller	43	https://storage.googleapis.com/generated_posters/poster_43.png
Lessons Learned	2008.0	Jordan Gray,  Rohan Verma	Varun Kapoor	A jaded, cynical journalist, disillusioned by the world's darkness, is assigned to write a feel-good piece about a small-town community.  He reluctantly embarks on the assignment, expecting the worst, but instead finds himself touched by the resilience and kindness of the people he meets.  Through their stories, he rediscovers the power of hope and the importance of human connection, ultimately finding redemption and a renewed sense of purpose.  The journalist learns that even in the darkest of times, there is always light to be found, and that the lessons learned from others can change your life.	2.96	101.0	Drama, Comedy	44	https://storage.googleapis.com/generated_posters/poster_44.png
A Students Journey	2017.0	Charlotte Davies,  Lam Siu Mei	Wong Pui Ying	A brilliant but directionless student, struggling with the pressure of his parents' expectations, stumbles upon a hidden journal that belonged to a legendary artist.  Inspired by the journal's words, he embarks on a journey of self-discovery, exploring his passions and challenging societal norms.  Along the way, he forms unlikely friendships and faces unexpected obstacles, ultimately learning the true meaning of success and finding his own unique path.  The journey culminates in a powerful act of self-expression that inspires others to embrace their own individuality.	4.41	193.0	Drama, Adventure	45	https://storage.googleapis.com/generated_posters/poster_45.png
Heavy is the Head	2020.0	Daniel Anderson	Jakob Weber	A renowned surgeon, haunted by a past medical error, is thrust into the spotlight when a powerful politician needs a life-saving operation.  As the surgeon grapples with his guilt and the immense pressure of the situation, he must confront his demons and decide if he can truly save the politician's life, or if the weight of his past will ultimately destroy him.  Meanwhile, a mysterious figure from his past emerges, threatening to expose his secret and shatter his carefully constructed life.  The surgeon must race against time to save the politician, clear his name, and find redemption before it's too late.	3.88	43.0	Thriller, Drama	46	https://storage.googleapis.com/generated_posters/poster_46.png
Unwavering Faith	2017.0	Sofía Moreira	Emiliano Ramirez	A young woman, struggling with a terminal illness, finds solace in her unwavering faith.  However, when her condition worsens and her faith is tested, she must confront her deepest fears and find the strength to believe even in the face of unimaginable pain.  Through her journey, she inspires those around her to rediscover their own faith and find hope in the midst of adversity.  Ultimately, she learns that true faith is not about avoiding suffering, but about finding peace and purpose even in the darkest of times.	1.15	79.0	Drama, Thriller	47	https://storage.googleapis.com/generated_posters/poster_47.png
Dreams of Tomorrow	2018.0	Samir Hassan	Aigerim Abilkasymova	In a dystopian future where dreams are controlled by a powerful corporation, a young woman named Anya discovers she can access forbidden memories through her dreams.  Driven by a desire for freedom and truth, she teams up with a group of rebels who fight to break free from the corporation's control.  As they delve deeper into the secrets of the past, they uncover a shocking truth about the origins of their society and the true nature of their dreams.  Anya must choose between the comfort of a controlled reality and the uncertain promise of a future where dreams are truly free.	1.54	55.0	Action, Sci-Fi	48	https://storage.googleapis.com/generated_posters/poster_48.png
A Realists Truth	2010.0	Juliette Petit,  Julieta Navarro	Rebecca Nelson	A cynical, jaded journalist, known for his biting commentary on the absurdity of life, is forced to confront his own deeply held beliefs when he is assigned to cover a story about a seemingly impossible miracle. As he delves deeper into the investigation, he finds himself questioning everything he thought he knew about the world, and his own hardened heart begins to soften.  Ultimately, he must choose between clinging to his cynical worldview or embracing the possibility of something truly extraordinary.	3.94	87.0	Drama, Thriller	49	https://storage.googleapis.com/generated_posters/poster_49.png
Unbridled Joy	2021.0	Sofia Esposito,  Emily Chan,  Nabil Ali	Nicole Martinez	A jaded, workaholic lawyer, Amelia, inherits a wild mustang from her eccentric aunt. Initially resistant, Amelia reluctantly takes the horse on a cross-country journey, hoping to sell it. However, the journey transforms Amelia, rekindling her passion for life and revealing a hidden talent for horsemanship.  As Amelia and the mustang forge an unbreakable bond, she learns that true joy lies not in material possessions but in embracing the wildness within.	2.81	163.0	Drama, Adventure	50	https://storage.googleapis.com/generated_posters/poster_50.png
Endless Despair	2011.0	Zofia Nowak,  Rohan Kumar,  Zoé Simon	Ian Bell	A brilliant but troubled scientist, driven by a desire to understand the universe's mysteries, accidentally unlocks a portal to a dimension of pure, unadulterated despair.  As the despair begins to seep into our world, he must race against time to find a way to close the portal before it consumes everything.  But the despair is contagious, and he finds himself battling not only the encroaching darkness but also the growing hopelessness within himself.  In a desperate attempt to save humanity, he must confront the ultimate question: can hope truly exist in the face of endless despair?	3.88	162.0	Horror, Thriller	51	https://storage.googleapis.com/generated_posters/poster_51.png
The Cynics Smile	2020.0	Shaurya Agarwal	Chimamanda Ngozi Adichie	A jaded, world-weary journalist, known for his cynical wit, is assigned to cover a feel-good story about a small-town charity.  He expects to find hypocrisy and exploitation, but instead, he encounters genuine kindness and selflessness, forcing him to confront his own jaded worldview.  As he delves deeper into the story, he uncovers a dark secret that threatens to destroy the very foundation of the charity, leaving him to choose between exposing the truth and protecting the good he has witnessed.  In the end, he must decide whether to embrace the cynicism that has defined him or allow himself to be touched	4.67	79.0	Drama, Thriller	52	https://storage.googleapis.com/generated_posters/poster_52.png
Seeking Truth	2013.0	Camila Almeida,  Oscar Brown	Ji-hyun Lee	A renowned journalist, known for uncovering hidden truths, is assigned to investigate a seemingly mundane case of a missing person. As she delves deeper, she uncovers a web of government conspiracies and dangerous secrets, putting her own life at risk.  Driven by her unwavering pursuit of the truth, she must race against time to expose the corruption and protect those involved before it's too late.	3.17	35.0	Thriller, Spy	53	https://storage.googleapis.com/generated_posters/poster_53.png
A Believers Hope	2005.0	Jennifer Richardson,  Tran Thi Lan,  Michelle Hernandez	Fela Kuti	"A young woman, disillusioned by the world's darkness, finds solace in a mysterious cult promising a utopian future. As she delves deeper into their teachings, she uncovers a sinister truth about their leader and the true nature of their ""hope.""  Driven by her newfound knowledge and a desperate desire to save others, she must expose the cult's secrets before it's too late, risking her own life in the process."	4.48	52.0	Thriller, Drama	54	https://storage.googleapis.com/generated_posters/poster_54.png
